Thu Mar 18 18:26:01 2021    output.dat

         188712296 function calls (185104778 primitive calls) in 194.084 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   356254    0.297    0.000    1.111    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/framework/tensor_util.py:805(constant_value)
    89052    0.293    0.000    1.981    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow_probability/python/internal/prefer_static.py:377(_shape)
   111693    0.293    0.000    0.293    0.000 {method 'format' of 'str' objects}
    94244    0.281    0.000    0.692    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/numpy/lib/shape_base.py:512(expand_dims)
    21034    0.281    0.000    2.600    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/ops/array_ops.py:893(_slice_helper)
   592858    0.280    0.000    0.280    0.000 {built-in method tensorflow.python._pywrap_utils.IsMutableMapping}
   430100    0.280    0.000    0.280    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/eager/context.py:837(device_name)
361807/232840    0.272    0.000    0.958    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/contextlib.py:117(__exit__)
   300822    0.271    0.000    0.844    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/framework/tensor_shape.py:868(__getitem__)
   509072    0.270    0.000    0.729    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/framework/ops.py:6644(_restore_name_scope)
    46610    0.267    0.000    2.519    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/util/tf_inspect.py:260(getcallargs)
   716330    0.267    0.000    0.679    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/framework/dtypes.py:84(base_dtype)
   235105    0.263    0.000    0.951    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/ops/handle_data_util.py:38(copy_handle_data)
